f_Hz,Vpp1_V,Vpp2_V,r
10000.0,0.081,0.165,0.06722222222222222
11000.0,0.103,0.228,0.10093980582524271
12000.0,0.154,0.312,0.1264207792207792
13000.0,0.203,0.462,0.2102896551724138
14000.0,0.303,0.687,0.31153069306930703
15000.0,0.468,1.109,0.5255901709401709
15250.0,0.518,1.219,0.573730115830116
15500.0,0.587,1.375,0.6441652470187395
15750.0,0.652,1.531,0.7190064417177913
16000.0,0.725,1.703,0.8000576551724139
16250.0,0.781,1.875,0.9002880921895006
16500.0,0.843,2.0,0.9489916963226572
16750.0,0.859,2.031,0.9604100116414437
17000.0,0.875,2.062,0.971850057142857
17250.0,0.828,2.0,0.9661835748792271
17500.0,0.812,1.938,0.9250847290640393
17750.0,0.75,1.844,0.9067562666666668
18000.0,0.718,1.75,0.8530640668523677
19000.0,0.578,1.406,0.6840262975778547
20000.0,0.5,1.188,0.5645376
21000.0,0.425,1.016,0.4857675294117647
22000.0,0.387,0.921,0.4383674418604651
23000.0,0.35,0.843,0.40608514285714287
24000.0,0.325,0.781,0.37536061538461546
25000.0,0.318,0.75,0.35377358490566035
26000.0,0.3,0.718,0.34368266666666664
27000.0,0.293,0.703,0.3373440273037543
28000.0,0.281,0.687,0.33592099644128115
29000.0,0.275,0.656,0.3129716363636364
30000.0,0.262,0.64,0.31267175572519085
32500.0,0.268,0.625,0.2915111940298507
35000.0,0.256,0.593,0.27472578124999997
37500.0,0.25,0.593,0.2813192
40000.0,0.243,0.578,0.2749662551440329
45000.0,0.24,0.55,0.2520833333333334
50000.0,0.231,0.543,0.2552805194805195
55000.0,0.228,0.531,0.24733421052631577
60000.0,0.225,0.531,0.250632
70000.0,0.237,0.518,0.2264337552742616
80000.0,0.231,0.518,0.2323151515151515
90000.0,0.231,0.512,0.22696450216450215
